lot_id,slot,result,date
AAA001.1,1,pass,2025-05-14
AAA001.1,2,pass,2025-05-14
AAA001.1,3,fail,2025-05-14
AAA001.1,4,fail,2025-05-14
AAA001.1,5,fail,2025-05-14
AAA001.1,6,fail,2025-05-14
AAA001.1,7,fail,2025-05-14
AAA001.1,8,fail,2025-05-14
AAA001.1,9,pass,2025-05-14
AAA001.1,10,pass,2025-05-14
AAA001.1,11,pass,2025-05-14
AAA001.1,12,pass,2025-05-14
AAA001.1,13,pass,2025-05-14
AAA001.1,14,pass,2025-05-14
AAA001.1,15,pass,2025-05-14
AAA001.1,16,pass,2025-05-14
AAA001.1,17,pass,2025-05-14
AAA001.1,18,pass,2025-05-14
AAA001.1,19,pass,2025-05-14
AAA001.1,20,pass,2025-05-14
AAA001.1,21,pass,2025-05-14
AAA001.1,22,pass,2025-05-14
AAA001.1,23,pass,2025-05-14
AAA001.1,24,pass,2025-05-14
AAA001.1,3,pass,2025-05-15
AAA001.1,4,pass,2025-05-15
AAA001.1,5,pass,2025-05-15
AAA001.1,6,fail,2025-05-15
AAA001.1,7,fail,2025-05-15
AAA001.1,8,pass,2025-05-15
AAA001.1,6,pass,2025-05-16
AAA001.1,7,pass,2025-05-16
